lon,lat,lev,time,pe
1.0,32.5,11.0,2020-06-18,0.48736462
1.0,32.5,11.0,2020-06-19,0.70902526
1.0,32.5,11.0,2020-06-20,0.70685923
1.0,32.5,11.0,2020-06-21,0.06281588
1.0,32.5,11.0,2020-06-22,0.29530686
1.0,32.5,11.0,2020-06-23,0.7516245
1.0,32.5,11.0,2020-06-24,0.38700363
1.0,32.5,11.0,2020-06-25,0.5631769
1.0,32.5,11.0,2020-06-26,0.08447653
1.0,32.5,11.0,2020-06-27,0.22382672
1.0,32.5,11.0,2020-06-28,0.5472924
1.0,32.5,11.0,2020-06-29,0.25848377
1.0,32.5,11.0,2020-06-30,0.20866425
1.0,32.5,11.0,2020-07-01,0.48808664
1.0,32.5,11.0,2020-07-02,0.12563176
1.0,32.5,11.0,2020-07-03,0.666426
1.0,32.5,11.0,2020-07-04,0.6
1.0,32.5,11.0,2020-07-05,0.28880867
1.0,32.5,11.0,2020-07-06,0.19350182
1.0,32.5,11.0,2020-07-07,0.52202165
1.0,32.5,11.0,2020-07-08,0.13862815
1.0,32.5,11.0,2020-07-09,0.06209386
1.0,32.5,11.0,2020-07-10,0.2599278
1.0,32.5,11.0,2020-07-11,0.39783394
1.0,32.5,11.0,2020-07-12,0.27581227
1.0,32.5,11.0,2020-07-13,0.29169676
1.0,32.5,11.0,2020-07-14,0.2801444
1.0,32.5,11.0,2020-07-15,0.2166065
1.0,32.5,11.0,2020-07-16,0.3566787
1.0,32.5,11.0,2020-07-17,0.31841156
1.0,32.5,11.0,2020-07-18,0.1032491
1.0,32.5,11.0,2020-07-19,0.05198556
1.0,32.5,11.0,2020-07-20,0.06281588
1.0,32.5,11.0,2020-07-21,0.5306859
1.0,32.5,11.0,2020-07-22,0.6888087
1.0,32.5,11.0,2020-07-23,0.29386282
1.0,32.5,11.0,2020-07-24,0.25848377
1.0,32.5,11.0,2020-07-25,0.17400722
1.0,32.5,11.0,2020-07-26,0.6180505
1.0,32.5,11.0,2020-07-27,0.6700361
1.0,32.5,12.0,2020-04-01,0.73068595
1.0,32.5,12.0,2020-04-02,0.82815886
1.0,32.5,12.0,2020-04-03,0.832491
1.0,32.5,12.0,2020-04-04,0.8945849
1.0,32.5,12.0,2020-04-05,0.8505415
1.0,32.5,12.0,2020-04-06,0.8238267
1.0,32.5,12.0,2020-04-07,0.8108303
1.0,32.5,12.0,2020-04-08,0.8173285
1.0,32.5,12.0,2020-04-09,0.6274369
1.0,32.5,12.0,2020-04-10,0.16245487
1.0,32.5,12.0,2020-04-11,0.83826715
1.0,32.5,12.0,2020-04-12,0.6418773
1.0,32.5,12.0,2020-04-13,0.84548736
1.0,32.5,12.0,2020-04-14,0.5841155
1.0,32.5,12.0,2020-04-15,0.8462094
1.0,32.5,12.0,2020-04-16,0.73862815
1.0,32.5,12.0,2020-04-17,0.52129966
1.0,32.5,12.0,2020-04-18,0.059205778
1.0,32.5,12.0,2020-04-19,0.8028881
1.0,32.5,12.0,2020-04-20,0.9046931
1.0,32.5,12.0,2020-04-21,0.8931408
1.0,32.5,12.0,2020-04-22,0.8873646
1.0,32.5,12.0,2020-04-23,0.8613718
1.0,32.5,12.0,2020-04-24,0.8231047
1.0,32.5,12.0,2020-04-25,0.868592
1.0,32.5,12.0,2020-04-26,0.8187726
1.0,32.5,12.0,2020-04-27,0.831769
1.0,32.5,12.0,2020-04-28,0.8079423
1.0,32.5,12.0,2020-04-29,0.6173285
1.0,32.5,12.0,2020-04-30,0.17400722
1.0,32.5,12.0,2020-05-01,0.14440434
1.0,32.5,12.0,2020-05-02,0.78122747
1.0,32.5,12.0,2020-05-03,0.3638989
1.0,32.5,12.0,2020-05-04,0.8122744
1.0,32.5,12.0,2020-05-05,0.8469314
1.0,32.5,12.0,2020-05-06,0.8129964
1.0,32.5,12.0,2020-05-07,0.10830325
1.0,32.5,12.0,2020-05-08,0.21227436
1.0,32.5,12.0,2020-05-09,0.8252708
1.0,32.5,12.0,2020-05-10,0.77761734
1.0,32.5,12.0,2020-05-11,0.8425993
1.0,32.5,12.0,2020-05-12,0.47364622
1.0,32.5,12.0,2020-05-13,0.02166065
1.0,32.5,12.0,2020-05-14,0.2129964
1.0,32.5,12.0,2020-05-15,0.7638989
